fish_id	genotype	exp_date	line	age	sex	weight_gr	length_cm	Min_Time_under_tricaine	dpf	dob	HRMA date	User	Tank_mates	Notes	Domain	Frame	Age	Line	domain	inflow_avg_1	inflow_avg_2	inflow_avg_3	outflow_avg_1	outflow_avg_2	outflow_avg_3	HR_1	HR_2	HR_3	Vs_1	Vs_2	Vs_3	Vd_1	Vd_2	Vd_3	As_1	As_2	As_3	Ad_1	Ad_2	Ad_3
1	WT	2021-06-24	ATR1-16del	3month	F	0.222	2.922	0.378472222222222	131	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	12	dob is 10feb21 or 14 feb21, mixed	ATR1	outframe	3	ATR1_OUT_16	ATR1	99.343620	94.106798	97.678522	-38.204294	-42.173557	-39.444684	107.784431	117.936118	91.106291	0.201547	0.120504	0.106389	0.309860	0.253083	0.215013	0.400490	0.292163	0.291342	0.617260	0.441283	0.439329
1	WT	2021-06-29	ATR1-3del	3month	M	0.158	3.07	5.33	136	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	4	Practice fish not included	ATR1	inframe	3	ATR1_IN_3	ATR1	161.288813	151.873837	158.366917	-126.834404	-117.968715	-117.968722	155.844156	153.846154	142.011834	0.308130	0.242021	0.334093	0.592602	0.536178	0.581989	0.511186	0.461412	0.570624	0.865924	0.815109	0.846830
1	WT	2021-07-30	SET-6del	3month	M	0.217	2.322	0.253472222222222	118	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	8	lived	SET	inframe	3	SET_IN_6	SET	73.047420	73.242261	77.605632	-89.294175	-78.528234	-105.717600	115.068493	101.326900	107.142857	0.311925	0.318070	0.374387	0.644496	0.688161	0.680435	0.552343	0.581469	0.644615	0.948515	0.922985	0.954319
1	WT	2021-07-31	SET-13del	3month	M	0.277	2.647	0.213888888888889	119	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	8		SET	outframe	3	SET_OUT_13	SET	116.997782	210.302421	228.874516	-102.341206	-85.105071	-65.770402	115.523466	109.339408	110.854503	0.353828	0.362712	0.306586	0.683575	0.682192	0.629163	0.607259	0.636019	0.568661	1.007493	0.911580	0.986365
1	WT	2021-08-05	HMG-9del	5month	M	0.145	2.818	0.186805555555556	173	2021-02-14T00:00:00Z	2021-06-05T00:00:00Z	Callie	6		HMG	inframe	5	HMG_IN_9	HMG	166.304896	154.373755	154.443254	-54.857979	-60.378313	-60.378313	102.065614	100.119190	104.196816	0.272439	0.228600	0.154170	0.561427	0.497298	0.431187	0.506037	0.472150	0.396778	0.882396	0.781927	0.711521
1	WT	2021-08-07	HMG-4del2ins	5month	M	0.204	2.531	0.175	175	2021-02-14T00:00:00Z	2021-06-03T00:00:00Z	Callie	9	peak pressure?	HMG	outframe	5	HMG_OUT_4del2ins	HMG	71.456698	80.658354	86.049969	-69.295083	-69.919366	-71.767621	126.463700	86.021505	99.056604	0.178356	0.161873	0.166629	0.380389	0.365567	0.403459	0.381129	0.360427	0.359106	0.682917	0.660344	0.700264
1	WT	2021-08-11	ATR1-16del	5month	M	0.225	2.525	0.197916666666667	179	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	6		ATR1	outframe	5	ATR1_OUT_16	ATR1	213.370688	227.158971	213.338832	-143.053446	-142.251254	-137.649960	96.000000	97.428958	116.930572	0.205261	0.201720	0.203623	0.424371	0.475065	0.475699	0.459031	0.416311	0.415947	0.755107	0.818734	0.763441
1	WT	2021-08-15	ATR1-3del	5month	F	0.286	2.37	0.223611111111111	183	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	4		ATR1	inframe	5	ATR1_IN_3	ATR1	212.814747	207.214397	212.084261	-180.029450	-177.010607	-176.858111	103.703704	93.023256	102.689487	0.410517	0.433772	0.372659	0.696304	0.716316	0.663882	0.698652	0.752945	0.655776	0.981981	1.000000	0.943003
1	WT	2021-09-13	SET-6del	5month	M	0.227	3.114	0.222222222222222	163	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	4	no notes on practice fish	SET	inframe	5	SET_IN_6	SET	156.036068	154.434512	148.077029	-78.427287	-116.976242	-127.610456	142.857143	145.102781	156.606852	0.349027	0.428573	0.435924	0.668395	0.717044	0.676553	0.617821	0.699524	0.696789	0.991004	1.005761	0.943155
1	WT	2021-09-14	SET-13del	5month	M	0.304	3.142	0.145138888888889	164	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	outframe	5	SET_OUT_13	SET	118.432443	130.416590	135.619955	-109.000692	-104.865091	-110.773031	143.712575	138.842975	99.173554	0.417008	0.469184	0.410198	0.728538	0.815894	0.756706	0.687400	0.792658	0.729304	0.979691	1.097768	1.104098
1	WT	2021-10-18	HMG-4del2ins	3month	M	0.164	2.706	0.284027777777778	93	2021-07-18T00:00:00Z	2021-09-29T00:00:00Z	Callie	9	practice not recorded	HMG	outframe	3	HMG_OUT_4del2ins	HMG	244.615191	276.748977	270.465602	-101.010551	-126.120110	-130.895291	112.808461	113.975577	108.433735	0.375805	0.311059	0.317038	0.785790	0.640006	0.638586	0.621618	0.549189	0.574594	1.017991	0.958465	0.905992
1	WT	2021-10-24	HMG-9del	3month	M	0.12	2.478	0.222916666666667	96	2021-07-21T00:00:00Z	2021-10-17T00:00:00Z	Callie	9	practice not recorded	HMG	inframe	3	HMG_IN_9	HMG	175.660940	160.767912	206.974445	-89.654488	-85.064678	-77.414953	146.341463	150.753769	155.844156	0.234462	0.201376	0.195341	0.513033	0.461749	0.472599	0.494618	0.432723	0.439308	0.834808	0.762019	0.770758
1	WT	2021-12-26	HMG-4del2ins	5month	M	0.33	3.4	0.198611111111111	133	2015-08-21T00:00:00Z	2021-08-22T00:00:00Z	Callie	4		HMG	outframe	5	HMG_OUT_4del2ins	HMG	139.170188	136.840987	131.600244	-134.764677	-136.791191	-150.937153	195.652174	189.473684	193.548387	0.385066	0.392865	0.329974	0.548373	0.618836	0.548373	0.737906	0.704176	0.675774	0.931524	0.966611	0.931524
1	WT	2022-09-15	ATR1-3del	5month	M	0.225	3.139		138	2022-05-01T00:00:00Z	2022-07-22T00:00:00Z	Callie			ATR1	Inframe	5	ATR1_IN_3	ATR1	321.435783	238.115336	266.477233	-205.823276	-175.295298	-174.353821	110.599078	107.865169	97.297297	0.795079	0.737626	0.770851	1.007883	1.185589	1.067542	1.083783	1.053075	1.018863	1.357777	1.469201	1.430314
